Month,Year,Rainfall,WPI
4,2012,47.5,84.3
5,2012,31.7,79.5
6,2012,117.8,80.2
7,2012,250.2,78.8
8,2012,262.4,78.1
9,2012,193.5,79.3
10,2012,58.7,78.3
11,2012,30.7,79.3
12,2012,11.7,82.1
1,2013,11.3,85.5
2,2013,40.1,82.5
3,2013,15.7,81.5
4,2013,30.4,81
5,2013,57.8,79.7
6,2013,219.8,83.5
7,2013,310,85.3
8,2013,254.7,91.7
9,2013,152.7,94.8
10,2013,129.4,109.6
11,2013,14,112.4
12,2013,6.7,112.8
1,2014,19.2,116.8
2,2014,27.4,121.6
3,2014,36.1,127.6
4,2014,22.2,141.8
5,2014,72.9,150
6,2014,95.4,147.9
7,2014,261.2,152
8,2014,237.5,172.1
9,2014,188,170
10,2014,60.2,160.9
11,2014,14.4,153.2
12,2014,10.7,148.5
1,2015,17.4,162.7
2,2015,21,161.9
3,2015,62,162
4,2015,69.4,161.9
5,2015,53.8,154.4
6,2015,192.8,145.5
7,2015,242.4,134.4
8,2015,205.2,143.8
9,2015,131.8,139.6
10,2015,42.9,135.1
11,2015,39.4,130.2
12,2015,15,118.7
1,2016,19.3,112.3
2,2016,22.8,109.7
3,2016,27.6,103.9
4,2016,37.4,103.9
5,2016,62.6,102.3
6,2016,168.3,100.6
7,2016,289.1,99.5
8,2016,256.3,105.2
9,2016,171.9,107.6
10,2016,76.1,109.1
11,2016,29.7,110
12,2016,14.9,114.6
1,2017,19,121.6
2,2017,22.6,130.3
3,2017,27.8,128.3
4,2017,37.9,134.6
5,2017,62.4,132.1
6,2017,168.1,145.8
7,2017,289.3,152
8,2017,256.2,168.5
9,2017,171.5,188.6
10,2017,76.3,189.8
11,2017,29.9,195.4
12,2017,15,210.1
1,2018,19.2,215.5
2,2018,20.1,214.4
3,2018,27.1,209.4
4,2018,40.2,215.3
5,2018,62.7,226.1
6,2018,165,222.2
7,2018,286.3,218.1
8,2018,254.3,218.7
9,2018,171.9,212.2
10,2018,77.2,199
11,2018,28.1,191.2
12,2018,14.1,198.3
1,2019,18.5,209.6
2,2019,33.1,206.7
3,2019,18.7,204.2
4,2019,31.5,198.6
5,2019,51.3,192.3
6,2019,113.5,187.3
7,2019,298.8,186.6
8,2019,299.9,190.8
9,2019,259.5,191.2
10,2019,110.1,191.2
11,2019,31.6,189.1
12,2019,19.2,186.4
1,2020,28.3,186
2,2020,12.1,186.3
3,2020,44.7,184.1
4,2020,42.7,184.2
5,2020,71.8,181.4
6,2020,195.6,179.1
7,2020,257.1,180.7
8,2020,327.8,184.7
9,2020,178,187.8
10,2020,78.3,192.4
11,2020,29.2,195.9
12,2020,17,205.9
1,2021,20.2,206.4
2,2021,7.6,210.2
3,2021,16.7,219.6
4,2021,31.1,218.5
5,2021,107.8,215.2
6,2021,182.4,217.2
7,2021,266.2,211.5
8,2021,196.3,209
9,2021,229.6,208.4
10,2021,100.8,207.3
11,2021,56.5,206.5
12,2021,20.5,206.9
1,2022,39.5,205.7
2,2022,19.1,204.9
3,2022,8.9,202.6
4,2022,38.2,200
5,2022,83.2,195.8
6,2022,152.2,185.8
7,2022,327.2,184.1
8,2022,264,183.5
9,2022,181.4,185.2
10,2022,111.8,183.2
11,2022,18.6,182.2
12,2022,13.6,180.6
1,2023,7.2,173.5
2,2023,19.7,167.9
3,2023,25.4,160.8
4,2023,31.4,159.8
5,2023,66.5,159.3
6,2023,250,148.2
7,2023,305.4,149.2
8,2023,293.9,154.3
9,2023,187.3,147.9
10,2023,75.7,150.1
11,2023,13.5,148.6
12,2023,27.6,148.5
1,2024,16.2,153.8
2,2024,18.1,158.4
3,2024,30.9,156.1
4,2024,41.4,155.3
5,2024,71.8,154.1
6,2024,151.1,156.1
7,2024,315.9,159.6
8,2024,162.7,170.9
9,2024,190,194.9
10,2024,71.3,209.3
11,2024,16.5,213.1
12,2024,3.4,221.5
