Month,Year,Rainfall,WPI
4,2012,47.5,90.7
5,2012,31.7,90.8
6,2012,117.8,92.1
7,2012,250.2,97.9
8,2012,262.4,102.3
9,2012,193.5,102.3
10,2012,58.7,99.3
11,2012,30.7,97.5
12,2012,11.7,97.2
1,2013,11.3,96.5
2,2013,40.1,96.3
3,2013,15.7,96.5
4,2013,30.4,96.2
5,2013,57.8,96.3
6,2013,219.8,95.2
7,2013,310,96.6
8,2013,254.7,96.3
9,2013,152.7,97.1
10,2013,129.4,97.9
11,2013,14,103.1
12,2013,6.7,103.7
1,2014,19.2,105.7
2,2014,27.4,108.5
3,2014,36.1,108.3
4,2014,22.2,109.7
5,2014,72.9,115.1
6,2014,95.4,116.5
7,2014,261.2,122.3
8,2014,237.5,127
9,2014,188,128
10,2014,60.2,124.3
11,2014,14.4,124
12,2014,10.7,124.7
1,2015,17.4,131.6
2,2015,21,132.1
3,2015,62,133.7
4,2015,69.4,138.8
5,2015,53.8,149.7
6,2015,192.8,160.4
7,2015,242.4,162.8
8,2015,205.2,167.7
9,2015,131.8,171.8
10,2015,42.9,196.9
11,2015,39.4,204.7
12,2015,15,203.4
1,2016,19.3,206.1
2,2016,22.8,199.3
3,2016,27.6,198.2
4,2016,37.4,213
5,2016,62.6,231
6,2016,168.3,247.6
7,2016,289.1,243.7
8,2016,256.3,229.3
9,2016,171.9,211.6
10,2016,76.1,199
11,2016,29.7,188.4
12,2016,14.9,178.4
1,2017,19,167.6
2,2017,22.6,158.1
3,2017,27.8,151.1
4,2017,37.9,149.5
5,2017,62.4,145.7
6,2017,168.1,140.8
7,2017,289.3,134.1
8,2017,256.2,127.2
9,2017,171.5,129.1
10,2017,76.3,127.7
11,2017,29.9,123.7
12,2017,15,121
1,2018,19.2,114.8
2,2018,20.1,112.6
3,2018,27.1,112.1
4,2018,40.2,110.5
5,2018,62.7,108.4
6,2018,165,105.9
7,2018,286.3,106.9
8,2018,254.3,109.8
9,2018,171.9,107.6
10,2018,77.2,111
11,2018,28.1,118.6
12,2018,14.1,123.3
1,2019,18.5,123.5
2,2019,33.1,124.5
3,2019,18.7,122.1
4,2019,31.5,123.5
5,2019,51.3,128.5
6,2019,113.5,132.1
7,2019,298.8,131.5
8,2019,299.9,131.8
9,2019,259.5,133
10,2019,110.1,136.1
11,2019,31.6,162.1
12,2019,19.2,177
1,2020,28.3,180.9
2,2020,12.1,179.6
3,2020,44.7,176.9
4,2020,42.7,180.6
5,2020,71.8,187.7
6,2020,195.6,184
7,2020,257.1,181.7
8,2020,327.8,180.9
9,2020,178,177.6
10,2020,78.3,181.5
11,2020,29.2,188.1
12,2020,17,191
1,2021,20.2,194
2,2021,7.6,196.6
3,2021,16.7,196.7
4,2021,31.1,195.3
5,2021,107.8,196.2
6,2021,182.4,194.2
7,2021,266.2,182.9
8,2021,196.3,179.9
9,2021,229.6,181.5
10,2021,100.8,179.5
11,2021,56.5,179.7
12,2021,20.5,181
1,2022,39.5,178
2,2022,19.1,175.9
3,2022,8.9,176.7
4,2022,38.2,176.3
5,2022,83.2,174.3
6,2022,152.2,175.3
7,2022,327.2,177.4
8,2022,264,178.3
9,2022,181.4,179.9
10,2022,111.8,184
11,2022,18.6,186.2
12,2022,13.6,190
1,2023,7.2,189
2,2023,19.7,184.6
3,2023,25.4,185.6
4,2023,31.4,189
5,2023,66.5,185.3
6,2023,250,196.5
7,2023,305.4,195.8
8,2023,293.9,196.9
9,2023,187.3,205.5
10,2023,75.7,207.2
11,2023,13.5,217.1
12,2023,27.6,216.6
1,2024,16.2,211.6
2,2024,18.1,215.8
3,2024,30.9,218.2
4,2024,41.4,223.4
5,2024,71.8,227.8
6,2024,151.1,227.9
7,2024,315.9,224.8
8,2024,162.7,223.3
9,2024,190,220.8
10,2024,71.3,220.5
11,2024,16.5,217.7
12,2024,3.4,212.9
