Month,Year,Rainfall,WPI
4,2012,47.5,96.3
5,2012,31.7,96
6,2012,117.8,96.6
7,2012,250.2,103.6
8,2012,262.4,108.7
9,2012,193.5,108.4
10,2012,58.7,112.2
11,2012,30.7,113.5
12,2012,11.7,115.4
1,2013,11.3,116.9
2,2013,40.1,117.1
3,2013,15.7,118.3
4,2013,30.4,120
5,2013,57.8,118.9
6,2013,219.8,119
7,2013,310,118
8,2013,254.7,113.9
9,2013,152.7,117.5
10,2013,129.4,122.9
11,2013,14,126.4
12,2013,6.7,126.7
1,2014,19.2,126.5
2,2014,27.4,129.3
3,2014,36.1,132.6
4,2014,22.2,135.5
5,2014,72.9,137.8
6,2014,95.4,136.8
7,2014,261.2,142.5
8,2014,237.5,142.2
9,2014,188,141.2
10,2014,60.2,144.6
11,2014,14.4,148.5
12,2014,10.7,153.9
1,2015,17.4,159.1
2,2015,21,155.7
3,2015,62,150.7
4,2015,69.4,151.4
5,2015,53.8,155.7
6,2015,192.8,170.2
7,2015,242.4,165.3
8,2015,205.2,164.8
9,2015,131.8,167.5
10,2015,42.9,173.5
11,2015,39.4,178.1
12,2015,15,168.8
1,2016,19.3,167.1
2,2016,22.8,161
3,2016,27.6,158.7
4,2016,37.4,162.2
5,2016,62.6,161.9
6,2016,168.3,155.4
7,2016,289.1,150.4
8,2016,256.3,143.5
9,2016,171.9,134.7
10,2016,76.1,131.6
11,2016,29.7,127.4
12,2016,14.9,122.7
1,2017,19,119.7
2,2017,22.6,116.9
3,2017,27.8,115.4
4,2017,37.9,120.8
5,2017,62.4,120.1
6,2017,168.1,116.8
7,2017,289.3,113
8,2017,256.2,112.6
9,2017,171.5,112.9
10,2017,76.3,111.5
11,2017,29.9,109.8
12,2017,15,110.7
1,2018,19.2,112.2
2,2018,20.1,113
3,2018,27.1,114.1
4,2018,40.2,111.5
5,2018,62.7,113
6,2018,165,112.4
7,2018,286.3,115
8,2018,254.3,118.9
9,2018,171.9,119.8
10,2018,77.2,118.1
11,2018,28.1,121.6
12,2018,14.1,123
1,2019,18.5,125.8
2,2019,33.1,128.2
3,2019,18.7,127.8
4,2019,31.5,128.2
5,2019,51.3,130.9
6,2019,113.5,135.6
7,2019,298.8,137.1
8,2019,299.9,137.2
9,2019,259.5,138.7
10,2019,110.1,139.7
11,2019,31.6,146.7
12,2019,19.2,149.6
1,2020,28.3,151.3
2,2020,12.1,156.6
3,2020,44.7,162
4,2020,42.7,174.2
5,2020,71.8,179.7
6,2020,195.6,176.1
7,2020,257.1,173.6
8,2020,327.8,170.4
9,2020,178,164.3
10,2020,78.3,162.6
11,2020,29.2,165.1
12,2020,17,168.5
1,2021,20.2,166.7
2,2021,7.6,169.7
3,2021,16.7,169.2
4,2021,31.1,169.7
5,2021,107.8,169.6
6,2021,182.4,167.4
7,2021,266.2,163.5
8,2021,196.3,162.5
9,2021,229.6,164.9
10,2021,100.8,166.3
11,2021,56.5,164.7
12,2021,20.5,165.1
1,2022,39.5,164.1
2,2022,19.1,166.1
3,2022,8.9,168.8
4,2022,38.2,167.7
5,2022,83.2,166.3
6,2022,152.2,165.1
7,2022,327.2,166.2
8,2022,264,167.6
9,2022,181.4,166.2
10,2022,111.8,166.2
11,2022,18.6,165.7
12,2022,13.6,168.2
1,2023,7.2,167.7
2,2023,19.7,167.8
3,2023,25.4,172.8
4,2023,31.4,180.8
5,2023,66.5,178.6
6,2023,250,184.8
7,2023,305.4,188.7
8,2023,293.9,189.4
9,2023,187.3,199.7
10,2023,75.7,205.6
11,2023,13.5,203.7
12,2023,27.6,203.6
1,2024,16.2,198.7
2,2024,18.1,202.3
3,2024,30.9,205
4,2024,41.4,209.6
5,2024,71.8,209.1
6,2024,151.1,202.8
7,2024,315.9,198.8
8,2024,162.7,190.2
9,2024,190,192.5
10,2024,71.3,190.9
11,2024,16.5,187.1
12,2024,3.4,186
