Month,Year,Rainfall,WPI
4,2012,47.5,117.1
5,2012,31.7,118
6,2012,117.8,111.2
7,2012,250.2,113.2
8,2012,262.4,113.8
9,2012,193.5,111.8
10,2012,58.7,110.5
11,2012,30.7,113.9
12,2012,11.7,119
1,2013,11.3,119.4
2,2013,40.1,120.2
3,2013,15.7,119.5
4,2013,30.4,116.5
5,2013,57.8,114.7
6,2013,219.8,115.8
7,2013,310,115.8
8,2013,254.7,116.3
9,2013,152.7,118
10,2013,129.4,118.6
11,2013,14,120.1
12,2013,6.7,123.3
1,2014,19.2,123.9
2,2014,27.4,123.5
3,2014,36.1,124.1
4,2014,22.2,119.2
5,2014,72.9,120.7
6,2014,95.4,118.2
7,2014,261.2,120.1
8,2014,237.5,124.2
9,2014,188,127.1
10,2014,60.2,129.8
11,2014,14.4,128.4
12,2014,10.7,131
1,2015,17.4,135.4
2,2015,21,134.7
3,2015,62,132.6
4,2015,69.4,120.1
5,2015,53.8,122.7
6,2015,192.8,120.7
7,2015,242.4,121.9
8,2015,205.2,122.6
9,2015,131.8,124.3
10,2015,42.9,128.5
11,2015,39.4,133.1
12,2015,15,136.1
1,2016,19.3,138.5
2,2016,22.8,141.6
3,2016,27.6,139.4
4,2016,37.4,143.4
5,2016,62.6,148.7
6,2016,168.3,151.8
7,2016,289.1,154.2
8,2016,256.3,155.5
9,2016,171.9,154
10,2016,76.1,153.6
11,2016,29.7,159.5
12,2016,14.9,161.2
1,2017,19,161.6
2,2017,22.6,161.9
3,2017,27.8,156.9
4,2017,37.9,144.5
5,2017,62.4,137.7
6,2017,168.1,138.1
7,2017,289.3,139.3
8,2017,256.2,139.1
9,2017,171.5,140.3
10,2017,76.3,141.2
11,2017,29.9,140.4
12,2017,15,142.9
1,2018,19.2,141.6
2,2018,20.1,141
3,2018,27.1,140.8
4,2018,40.2,138.9
5,2018,62.7,139.8
6,2018,165,141.7
7,2018,286.3,141
8,2018,254.3,145
9,2018,171.9,146.7
10,2018,77.2,150.2
11,2018,28.1,153.5
12,2018,14.1,154.8
1,2019,18.5,159.2
2,2019,33.1,163.4
3,2019,18.7,163.9
4,2019,31.5,159
5,2019,51.3,160.9
6,2019,113.5,167
7,2019,298.8,169
8,2019,299.9,173.4
9,2019,259.5,175.4
10,2019,110.1,174.4
11,2019,31.6,174.9
12,2019,19.2,176.8
1,2020,28.3,180.4
2,2020,12.1,181.7
3,2020,44.7,182.3
4,2020,42.7,177.8
5,2020,71.8,166.3
6,2020,195.6,157.4
7,2020,257.1,153.1
8,2020,327.8,150.3
9,2020,178,149.1
10,2020,78.3,148.6
11,2020,29.2,149.4
12,2020,17,152
1,2021,20.2,151.6
2,2021,7.6,149.1
3,2021,16.7,150
4,2021,31.1,150
5,2021,107.8,154.6
6,2021,182.4,156
7,2021,266.2,156.7
8,2021,196.3,160
9,2021,229.6,166.4
10,2021,100.8,170.7
11,2021,56.5,174.8
12,2021,20.5,179.9
1,2022,39.5,183.6
2,2022,19.1,188.4
3,2022,8.9,187
4,2022,38.2,219.3
5,2022,83.2,233.4
6,2022,152.2,234.9
7,2022,327.2,235
8,2022,264,234
9,2022,181.4,234.4
10,2022,111.8,231.8
11,2022,18.6,238.6
12,2022,13.6,243
1,2023,7.2,239.7
2,2023,19.7,238.9
3,2023,25.4,218.6
4,2023,31.4,202.8
5,2023,66.5,187.8
6,2023,250,191.6
7,2023,305.4,190.6
8,2023,293.9,191.1
9,2023,187.3,195.5
10,2023,75.7,202.3
11,2023,13.5,198.6
12,2023,27.6,200
1,2024,16.2,197.5
2,2024,18.1,198.2
3,2024,30.9,194.8
4,2024,41.4,188.1
5,2024,71.8,193.8
6,2024,151.1,197.8
7,2024,315.9,203.6
8,2024,162.7,211.4
9,2024,190,217.2
10,2024,71.3,218.3
11,2024,16.5,226.6
12,2024,3.4,234.9
