Month,Year,Rainfall,WPI
4,2012,47.5,116.4
5,2012,31.7,120.2
6,2012,117.8,124.4
7,2012,250.2,114
8,2012,262.4,125.2
9,2012,193.5,124.7
10,2012,58.7,119
11,2012,30.7,114.7
12,2012,11.7,112.5
1,2013,11.3,116.1
2,2013,40.1,116.1
3,2013,15.7,117.9
4,2013,30.4,117.9
5,2013,57.8,119.6
6,2013,219.8,117.4
7,2013,310,117.1
8,2013,254.7,116.5
9,2013,152.7,114.6
10,2013,129.4,115.5
11,2013,14,116.1
12,2013,6.7,116.6
1,2014,19.2,114.6
2,2014,27.4,112.6
3,2014,36.1,112.6
4,2014,22.2,114.3
5,2014,72.9,116.1
6,2014,95.4,119.2
7,2014,261.2,120.9
8,2014,237.5,123.8
9,2014,188,128.3
10,2014,60.2,128.3
11,2014,14.4,122.7
12,2014,10.7,125.7
1,2015,17.4,138.8
2,2015,21,143.3
3,2015,62,146.7
4,2015,69.4,165.2
5,2015,53.8,154.5
6,2015,192.8,192.6
7,2015,242.4,220.3
8,2015,205.2,227.6
9,2015,131.8,234
10,2015,42.9,244.2
11,2015,39.4,260.4
12,2015,15,251.3
1,2016,19.3,238.3
2,2016,22.8,243.5
3,2016,27.6,241.2
4,2016,37.4,221.2
5,2016,62.6,215.9
6,2016,168.3,210.6
7,2016,289.1,212.8
8,2016,256.3,208
9,2016,171.9,207.6
10,2016,76.1,207.6
11,2016,29.7,207.6
12,2016,14.9,199.7
1,2017,19,198
2,2017,22.6,200.4
3,2017,27.8,202.3
4,2017,37.9,201.6
5,2017,62.4,204.7
6,2017,168.1,206.7
7,2017,289.3,207.2
8,2017,256.2,205.4
9,2017,171.5,204.8
10,2017,76.3,205.9
11,2017,29.9,205.5
12,2017,15,203
1,2018,19.2,200.8
2,2018,20.1,190.2
3,2018,27.1,179.4
4,2018,40.2,169.5
5,2018,62.7,153.7
6,2018,165,141.7
7,2018,286.3,132.8
8,2018,254.3,130.9
9,2018,171.9,139.7
10,2018,77.2,140.8
11,2018,28.1,141.1
12,2018,14.1,141.1
1,2019,18.5,140.8
2,2019,33.1,143.5
3,2019,18.7,165.3
4,2019,31.5,174.7
5,2019,51.3,173.1
6,2019,113.5,170.7
7,2019,298.8,168
8,2019,299.9,163.8
9,2019,259.5,166.1
10,2019,110.1,174.6
11,2019,31.6,175.4
12,2019,19.2,169.4
1,2020,28.3,171.5
2,2020,12.1,166.9
3,2020,44.7,164.5
4,2020,42.7,163.6
5,2020,71.8,160.4
6,2020,195.6,153.1
7,2020,257.1,152.5
8,2020,327.8,187.9
9,2020,178,214.5
10,2020,78.3,215.2
11,2020,29.2,216.6
12,2020,17,205.2
1,2021,20.2,206.7
2,2021,7.6,204.4
3,2021,16.7,211.5
4,2021,31.1,233.1
5,2021,107.8,247.1
6,2021,182.4,249
7,2021,266.2,247.5
8,2021,196.3,241.8
9,2021,229.6,241
10,2021,100.8,251.9
11,2021,56.5,252.9
12,2021,20.5,253.9
1,2022,39.5,254.5
2,2022,19.1,256.9
3,2022,8.9,259.9
4,2022,38.2,239.8
5,2022,83.2,235.4
6,2022,152.2,234.2
7,2022,327.2,237.8
8,2022,264,240.1
9,2022,181.4,240.8
10,2022,111.8,243
11,2022,18.6,244.8
12,2022,13.6,248.2
1,2023,7.2,248.3
2,2023,19.7,246.4
3,2023,25.4,263.4
4,2023,31.4,271.8
5,2023,66.5,276
6,2023,250,280.4
7,2023,305.4,278.1
8,2023,293.9,284.4
9,2023,187.3,296.8
10,2023,75.7,291.7
11,2023,13.5,282.5
12,2023,27.6,281.2
1,2024,16.2,277.4
2,2024,18.1,292.3
3,2024,30.9,295.3
4,2024,41.4,295.3
5,2024,71.8,290.3
6,2024,151.1,288.5
7,2024,315.9,294.2
8,2024,162.7,305
9,2024,190,305.2
10,2024,71.3,306.4
11,2024,16.5,307.4
12,2024,3.4,307.7
